Year,Badlands,GrandCanyon,BryceCanyon
1961,833300,1253000,264800
1962,1044800,1447400,251000
1963,1074000,1539500,289500
1964,1079800,1576600,300300
1965,1091300,1689200,366800
1966,1094800,1806000,396600
1967,1188700,1804900,295000
1968,1194600,1986300,320800
1969,1221300,2192600,366900
1970,1303100,2258200,345900
1971,1282000,2402100,377800
1972,1274600,2698300,424830
1973,1387900,1909700,429700
1974,1205300,1888600,408800
1975,1153200,2625100,579200
1976,1210100,2791600,625600
1977,1305400,2627200,611500
1978,1234915,2748642,679260
1979,858000,2131716,558095
1980,952652,2304973,571541
1981,1175952,2472270,474092
1982,1030484,2293127,471517
1983,1026981,2248082,472633
1984,1113675,2173584,495104
1985,950242,2711529,500782
1986,1025630,3035787,578018
1987,1174398,3513030,718342
1988,1110040,3859886,791348
1989,1237956,3966209,808045
1990,1326475,3776685,862659
1991,1518396,3886031,929067
1992,1205297,4203545,1018174
1993,1179458,4575602,1107951
1994,1130459,4364316,1028134
1995,1075569,4557645,994548
1996,1024705,4537703,1269600
1997,970696,4791668,1174824
1998,1021049,4239682,1166331
1999,950453,4575124,1081521
2000,1105824,4460228,1099275
2001,955469,4104809,1068619
2002,908898,4001974,886436
2003,871034,4124900,903760
2004,936030,4326234,987253
2005,909146,4401522,1017681
2006,840118,4279439,890676
2007,886654,4413668,1012563
2008,845734,4425314,1043321
2009,933918,4348068,1216377
2010,977778,4388386,1285492
2011,870741,4298178,1296000
2012,883406,4421352,1385352
2013,892372,4564840,1311875
2014,868094,4756771,1435741
2015,989354,5520736,1745804
2016,996263,5969811,2365110
2017,1054325,6254238,2571684